rozmiar,czy_hybrydowy,wersja_ls,czy_jedna_iteracja_w_ls,czy_rozroznienie_plci,nr_selekcji,precyzja_ruletki,ilosc_uczestnikow_turnieju,metoda_selekcji_rankingowej,metoda_krzyzowania,jakosc_wyniku
21,True,0,True,,0,-1,-1,-1,0,1.0
21,True,0,True,,0,-1,-1,-1,1,1.0
21,True,0,True,,0,-1,-1,-1,2,0.8840627041149576
21,True,0,True,,1,0,-1,-1,0,1.0
21,True,0,True,,1,0,-1,-1,1,1.0
21,True,0,True,,1,0,-1,-1,2,0.9807971014492753
21,True,0,True,,1,1,-1,-1,0,1.0
21,True,0,True,,1,1,-1,-1,1,0.9992617201919527
21,True,0,True,,1,1,-1,-1,2,0.9664405569439486
21,True,0,True,,1,2,-1,-1,0,1.0
21,True,0,True,,1,2,-1,-1,1,1.0
21,True,0,True,,1,2,-1,-1,2,1.0
21,True,0,True,,2,-1,2,-1,0,1.0
21,True,0,True,,2,-1,2,-1,1,1.0
21,True,0,True,,2,-1,2,-1,2,0.9992617201919527
21,True,0,True,,2,-1,10,-1,0,1.0
21,True,0,True,,2,-1,10,-1,1,1.0
21,True,0,True,,2,-1,10,-1,2,1.0
21,True,0,True,,3,-1,-1,0,0,1.0
21,True,0,True,,3,-1,-1,0,1,1.0
21,True,0,True,,3,-1,-1,0,2,1.0
21,True,0,True,,3,-1,-1,1,0,1.0
21,True,0,True,,3,-1,-1,1,1,1.0
21,True,0,True,,3,-1,-1,1,2,1.0
21,True,1,True,,0,-1,-1,-1,0,1.0
21,True,1,True,,0,-1,-1,-1,1,0.9578910120311395
21,True,1,True,,0,-1,-1,-1,2,1.0
21,True,1,True,,1,0,-1,-1,0,1.0
21,True,1,True,,1,0,-1,-1,1,0.9807971014492753
21,True,1,True,,1,0,-1,-1,2,0.9818643453028655
21,True,1,True,,1,1,-1,-1,0,1.0
21,True,1,True,,1,1,-1,-1,1,1.0
21,True,1,True,,1,1,-1,-1,2,0.9992617201919527
21,True,1,True,,1,2,-1,-1,0,1.0
21,True,1,True,,1,2,-1,-1,1,1.0
21,True,1,True,,1,2,-1,-1,2,1.0
21,True,1,True,,2,-1,2,-1,0,1.0
21,True,1,True,,2,-1,2,-1,1,0.9992617201919527
21,True,1,True,,2,-1,2,-1,2,1.0
21,True,1,True,,2,-1,10,-1,0,1.0
21,True,1,True,,2,-1,10,-1,1,1.0
21,True,1,True,,2,-1,10,-1,2,1.0
21,True,1,True,,3,-1,-1,0,0,1.0
21,True,1,True,,3,-1,-1,0,1,1.0
21,True,1,True,,3,-1,-1,0,2,1.0
21,True,1,True,,3,-1,-1,1,0,1.0
21,True,1,True,,3,-1,-1,1,1,1.0
21,True,1,True,,3,-1,-1,1,2,1.0
21,False,-1,-1,,0,-1,-1,-1,0,0.7263214381540113
21,False,-1,-1,,0,-1,-1,-1,1,0.8042186571598336
21,False,-1,-1,,0,-1,-1,-1,2,0.7099396800419617
21,False,-1,-1,,1,0,-1,-1,0,1.0
21,False,-1,-1,,1,0,-1,-1,1,0.7509015256588072
21,False,-1,-1,,1,0,-1,-1,2,0.9657509810916874
21,False,-1,-1,,1,1,-1,-1,0,0.968515205724508
21,False,-1,-1,,1,1,-1,-1,1,0.7752004581901489
21,False,-1,-1,,1,1,-1,-1,2,0.9273723878040425
21,False,-1,-1,,1,2,-1,-1,0,0.9657509810916874
21,False,-1,-1,,1,2,-1,-1,1,1.0
21,False,-1,-1,,1,2,-1,-1,2,0.9723419540229885
21,False,-1,-1,,2,-1,2,-1,0,1.0
21,False,-1,-1,,2,-1,2,-1,1,0.9302405498281787
21,False,-1,-1,,2,-1,2,-1,2,1.0
21,False,-1,-1,,2,-1,10,-1,0,0.9709469153515065
21,False,-1,-1,,2,-1,10,-1,1,0.9818643453028655
21,False,-1,-1,,2,-1,10,-1,2,1.0
21,False,-1,-1,,3,-1,-1,0,0,0.9623178101670814
21,False,-1,-1,,3,-1,-1,0,1,0.9992617201919527
21,False,-1,-1,,3,-1,-1,0,2,0.9657509810916874
21,False,-1,-1,,3,-1,-1,1,0,1.0
21,False,-1,-1,,3,-1,-1,1,1,1.0
21,False,-1,-1,,3,-1,-1,1,2,0.9657509810916874
71,True,0,True,,0,-1,-1,-1,0,0.668495029139527
71,True,0,True,,0,-1,-1,-1,1,0.4363392257775789
71,True,0,True,,0,-1,-1,-1,2,0.45348837209302323
71,True,0,True,,1,0,-1,-1,0,0.5743740795287187
71,True,0,True,,1,0,-1,-1,1,0.4298941798941799
71,True,0,True,,1,0,-1,-1,2,0.40752351097178685
71,True,0,True,,1,1,-1,-1,0,0.6341463414634146
71,True,0,True,,1,1,-1,-1,1,0.4231770833333333
71,True,0,True,,1,1,-1,-1,2,0.40264298988230435
71,True,0,True,,1,2,-1,-1,0,0.45013850415512463
71,True,0,True,,1,2,-1,-1,1,0.44776119402985076
