rozmiar,liczba powtorzen,najlepszy czas,najgorszy czas,t_dp(s),PRD_dp(%)
10,100,0.00698,0.017951,0.0082479,15.372397822476032
11,100,0.016955,0.0239,0.019617379999999997,13.571537075797051
12,100,0.042885,0.086789,0.04922837999999999,12.885615980050511
13,100,0.103722,0.187629,0.11609431000000002,10.657120060406083
14,100,0.249332,0.330116,0.27822375000000005,10.384357913370101
15,100,0.588426,0.832806,0.64560918,8.857243944393728
16,100,1.365388,1.83954,1.4814431699999993,7.833926562299333
17,100,3.173515,4.452333,3.5121596000000004,9.642061824297514
18,50,7.360358,10.577747,8.16062576,9.806450920989183
21,10,99.890408,106.504056,101.8055294,1.8811565651560807
