rozmiar,liczba_it,temp,nr_schematu,nr_permutacji,jakosc_wyniku
21,105,420,0,0,0.9609513667021654
21,105,420,0,1,0.9609513667021654
21,105,420,0,2,1.0
21,105,420,1,0,1.0
21,105,420,1,1,1.0
21,105,420,1,2,1.0
21,105,420,2,0,1.0
21,105,420,2,1,1.0
21,105,420,2,2,1.0
21,105,96,0,0,1.0
21,105,96,0,1,1.0
21,105,96,0,2,1.0
21,105,96,1,0,1.0
21,105,96,1,1,1.0
21,105,96,1,2,1.0
21,105,96,2,0,1.0
21,105,96,2,1,1.0
21,105,96,2,2,1.0
21,105,441,0,0,1.0
21,105,441,0,1,1.0
21,105,441,0,2,1.0
21,105,441,1,0,1.0
21,105,441,1,1,1.0
21,105,441,1,2,1.0
21,105,441,2,0,1.0
21,105,441,2,1,1.0
21,105,441,2,2,1.0
21,96,420,0,0,1.0
21,96,420,0,1,1.0
21,96,420,0,2,1.0
21,96,420,1,0,1.0
21,96,420,1,1,1.0
21,96,420,1,2,1.0
21,96,420,2,0,1.0
21,96,420,2,1,1.0
21,96,420,2,2,1.0
21,96,96,0,0,1.0
21,96,96,0,1,1.0
21,96,96,0,2,1.0
21,96,96,1,0,1.0
21,96,96,1,1,1.0
21,96,96,1,2,1.0
21,96,96,2,0,1.0
21,96,96,2,1,1.0
21,96,96,2,2,1.0
21,96,441,0,0,1.0
21,96,441,0,1,1.0
21,96,441,0,2,1.0
21,96,441,1,0,1.0
21,96,441,1,1,1.0
21,96,441,1,2,1.0
21,96,441,2,0,1.0
21,96,441,2,1,1.0
21,96,441,2,2,1.0
21,441,420,0,0,1.0
21,441,420,0,1,1.0
21,441,420,0,2,1.0
21,441,420,1,0,1.0
21,441,420,1,1,1.0
21,441,420,1,2,1.0
21,441,420,2,0,1.0
21,441,420,2,1,1.0
21,441,420,2,2,1.0
21,441,96,0,0,1.0
21,441,96,0,1,1.0
21,441,96,0,2,1.0
21,441,96,1,0,1.0
21,441,96,1,1,1.0
21,441,96,1,2,1.0
21,441,96,2,0,1.0
21,441,96,2,1,1.0
21,441,96,2,2,1.0
21,441,441,0,0,1.0
21,441,441,0,1,1.0
21,441,441,0,2,1.0
21,441,441,1,0,1.0
21,441,441,1,1,1.0
21,441,441,1,2,1.0
21,441,441,2,0,1.0
21,441,441,2,1,1.0
21,441,441,2,2,1.0
48,240,960,0,0,0.9089877725954872
48,240,960,0,1,0.9089877725954872
48,240,960,0,2,0.9350363070539419
48,240,960,1,0,0.9350363070539419
48,240,960,1,1,0.9350363070539419
48,240,960,1,2,0.9350363070539419
48,240,960,2,0,0.9350363070539419
48,240,960,2,1,0.9350363070539419
48,240,960,2,2,0.9350363070539419
48,240,332,0,0,0.9350363070539419
48,240,332,0,1,0.9350363070539419
48,240,332,0,2,0.9568736730360934
48,240,332,1,0,0.9568736730360934
48,240,332,1,1,0.9568736730360934
48,240,332,1,2,0.9568736730360934
48,240,332,2,0,0.9568736730360934
48,240,332,2,1,0.9568736730360934
48,240,332,2,2,0.9568736730360934
48,240,2304,0,0,0.9568736730360934
48,240,2304,0,1,0.9568736730360934
48,240,2304,0,2,0.9568736730360934
